"Treatment","Sex","BrainRegion","MouseID","SlideNumber","Cluster","n","percentage"
"COLD","F","HYPO","MR196","s12","Ramified",31,0.340659340659341
"COLD","F","HYPO","MR198","s01","Ameboid",29,0.261261261261261
"COLD","F","HYPO","MR198","s01","Rod-Like",24,0.216216216216216
"COLD","F","HYPO","MR198","s01","Ramified",58,0.522522522522523
"COLD","F","HYPO","MR198","s02","Ameboid",38,0.262068965517241
"COLD","F","HYPO","MR198","s02","Rod-Like",29,0.2
"COLD","F","HYPO","MR198","s02","Ramified",78,0.537931034482759
"COLD","F","HYPO","MR198","s03","Ameboid",38,0.269503546099291
"COLD","F","HYPO","MR198","s03","Rod-Like",27,0.191489361702128
"COLD","F","HYPO","MR198","s03","Ramified",76,0.539007092198582
"COLD","F","HYPO","MR198","s04","Ameboid",33,0.253846153846154
"COLD","F","HYPO","MR198","s04","Rod-Like",26,0.2
"COLD","F","HYPO","MR198","s04","Ramified",71,0.546153846153846
"COLD","F","HYPO","MR198","s05","Ameboid",31,0.246031746031746
"COLD","F","HYPO","MR198","s05","Rod-Like",46,0.365079365079365
"COLD","F","HYPO","MR198","s05","Ramified",49,0.388888888888889
"COLD","F","HYPO","MR198","s06","Ameboid",43,0.27741935483871
"COLD","F","HYPO","MR198","s06","Rod-Like",46,0.296774193548387
"COLD","F","HYPO","MR198","s06","Ramified",66,0.425806451612903
"COLD","F","HYPO","MR198","s07","Ameboid",67,0.305936073059361
"COLD","F","HYPO","MR198","s07","Rod-Like",59,0.269406392694064
"COLD","F","HYPO","MR198","s07","Ramified",93,0.424657534246575
"COLD","F","HYPO","MR198","s08","Ameboid",58,0.339181286549708
"COLD","F","HYPO","MR198","s08","Rod-Like",64,0.374269005847953
"COLD","F","HYPO","MR198","s08","Ramified",49,0.286549707602339
"COLD","F","HYPO","MR198","s09","Ameboid",61,0.393548387096774
"COLD","F","HYPO","MR198","s09","Rod-Like",37,0.238709677419355
"COLD","F","HYPO","MR198","s09","Ramified",57,0.367741935483871
"COLD","F","HYPO","MR198","s10","Ameboid",45,0.401785714285714
"COLD","F","HYPO","MR198","s10","Rod-Like",28,0.25
"COLD","F","HYPO","MR198","s10","Ramified",39,0.348214285714286
"COLD","F","HYPO","MR198","s11","Ameboid",37,0.300813008130081
"COLD","F","HYPO","MR198","s11","Rod-Like",44,0.357723577235772
"COLD","F","HYPO","MR198","s11","Ramified",42,0.341463414634146
"COLD","F","HYPO","MR198","s12","Ameboid",36,0.375
"COLD","F","HYPO","MR198","s12","Rod-Like",25,0.260416666666667
"COLD","F","HYPO","MR198","s12","Ramified",35,0.364583333333333
"COLD","F","HYPO","MR284","s01","Ameboid",67,0.443708609271523
"COLD","F","HYPO","MR284","s01","Rod-Like",41,0.271523178807947
"COLD","F","HYPO","MR284","s01","Ramified",43,0.28476821192053
"COLD","F","HYPO","MR284","s02","Ameboid",46,0.407079646017699
"COLD","F","HYPO","MR284","s02","Rod-Like",39,0.345132743362832
"COLD","F","HYPO","MR284","s02","Ramified",28,0.247787610619469
