"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfya",0.00545242984750991,-1.95062263668359,0.033,0.138,1
"Zyx",0.0128104106752711,-1.9465201532321,0.033,0.122,1
"Aim2",0.0338323984064161,-1.93788846493185,0.056,0.131,1
"Arglu1",6.70050658499845e-05,-1.93359762143246,0.122,0.321,0.979480052595074
"Zfhx3",3.27473701989333e-05,-1.92467230108616,0.067,0.273,0.478701057568008
"Hist1h2ap",0.0495325793490742,-1.92051167758427,0.067,0.138,1
"Tnrc6a",0.00780615003265561,-1.91866728142925,0.044,0.147,1
"Chd4",0.000786429416896993,-1.91828583480512,0.067,0.219,1
"App",0.00505992588916286,-1.91114503293385,0.067,0.183,1
"Celf1",0.00482207884239914,-1.91014994928875,0.067,0.185,1
"Tnpo3",0.034794526614035,-1.90045924800742,0.033,0.102,1
"Atrx",0.00014771960382687,-1.88976031950692,0.078,0.262,1
"Krit1",0.0153064475372777,-1.8875732734865,0.022,0.102,1
"Ergic1",0.0292283729075041,-1.88679539166287,0.044,0.12,1
"Zcchc7",0.00911425167790619,-1.87515035938035,0.056,0.16,1
"Rbbp6",0.016232573003388,-1.8743451010597,0.044,0.133,1
"AC149090.1",0.000467087600785023,-1.87395822277564,0.078,0.246,1
"Mertk",0.01247428975973,-1.86857449044708,0.067,0.165,1
"Zranb2",0.000326879609781185,-1.86373866134643,0.033,0.189,1
"Itga6",0.00128258850494446,-1.85746235126237,0.078,0.221,1
"Selenot",0.0240463065044721,-1.8515067977914,0.067,0.151,1
"Rasgrp3",0.00172023134570301,-1.84867407132312,0.078,0.217,1
"Fbrsl1",0.0273837465787863,-1.84807059538459,0.033,0.108,1
"Tfpi",0.0230838914115482,-1.8435342252891,0.056,0.14,1
"Gcnt1",0.0185711043798755,-1.83407927481155,0.033,0.115,1
"Neu1",0.0168752735655047,-1.83056132146792,0.056,0.145,1
"Tmem144",0.0104601998950888,-1.82579719084719,0.044,0.142,1
"Senp6",0.0109426375905928,-1.81711457216813,0.022,0.11,1
"Dst",0.0108961013744582,-1.8091151728227,0.033,0.126,1
"Epb41l2",3.70208661053812e-05,-1.80402567693286,0.167,0.375,0.541171020728463
"Chd9",0.00694507503655004,-1.80388627868687,0.044,0.151,1
"Map4",0.00581998196670797,-1.80070587780506,0.033,0.138,1
"Irf3",0.0281006953500953,-1.79310245168463,0.044,0.122,1
"Cflar",0.00384531869537793,-1.78874744497239,0.1,0.228,1
"Paqr7",0.0248432595293679,-1.78776412834654,0.033,0.11,1
"Ikzf1",0.0130687507381198,-1.78354570418089,0.078,0.18,1
"Nav3",0.0096651290276942,-1.78293061893954,0.044,0.144,1
"Clec2d",0.0180116164321908,-1.77952845223237,0.044,0.131,1
"Tcirg1",0.0095515086923201,-1.77769163343724,0.067,0.171,1
"Ikbkb",0.0235852830568786,-1.77585603412689,0.033,0.111,1
"Luc7l2",0.000103147938608322,-1.77117212668763,0.144,0.343,1
"Mia2",0.0127286221952266,-1.7657036380347,0.044,0.138,1
"Id2",0.0259980850874812,-1.76549087532497,0.044,0.124,1
"Snrnp70",0.00102688509974797,-1.76104755167716,0.1,0.251,1
"Atp8a1",0.0243446939874459,-1.75166826245785,0.056,0.14,1
"Pik3cd",0.036494115494874,-1.74342417315268,0.044,0.117,1
"Ccz1",0.0321501317664318,-1.74258477131606,0.067,0.147,1
"Lcp2",0.0118860655824744,-1.73351880387354,0.067,0.169,1
"Noa1",0.011477800539635,-1.73163032288337,0.044,0.142,1
"Tnfrsf1b",0.0509878775148349,-1.73056012007981,0.044,0.111,1
"Cspp1",0.0242896875778899,-1.72990734366316,0.044,0.126,1
"Ctsf",0.0192340707997037,-1.71996404444922,0.089,0.183,1
"Actn4",0.0107224997087323,-1.71131429791765,0.022,0.11,1
"Pttg1ip",0.00511181222554875,-1.70716106087667,0.044,0.154,1
"Ccnl2",0.0192361565260916,-1.70037326131508,0.056,0.144,1
"Gnaq",0.0298180016817134,-1.69664187085474,0.044,0.122,1
"Nktr",0.0023513525839735,-1.68548822419486,0.067,0.203,1
"Cebpg",0.0454375924516498,-1.68121456596331,0.044,0.113,1
"Fus",2.48684365494101e-05,-1.67817064066282,0.144,0.377,0.363526805479277
"Pkn1",0.00630849022392975,-1.67738675450069,0.067,0.181,1
"Hdlbp",0.00159199863489896,-1.67326191716473,0.067,0.206,1
"Exosc4",0.0562453909679011,-1.6661609807179,0.067,0.136,1
"Ap2a1",0.0380323688923247,-1.66404246656153,0.033,0.102,1
"March6",0.035875178367492,-1.66194839036353,0.044,0.118,1
"Akap13",0.000928137627947758,-1.66071665856252,0.144,0.302,1
"Tnks2",0.00932263179819072,-1.65874362211771,0.089,0.197,1
"Rab7b",0.170003254107711,-1.65792036783049,0.078,0.122,1
"Fes",0.0379696046203738,-1.65772199835498,0.078,0.156,1
"Sfpq",6.67890493446635e-06,-1.65588213331934,0.189,0.422,0.0976322323320292
"Crlf3",0.0066340852097756,-1.6545043319603,0.033,0.136,1
"Srrm2",0.000379129213783893,-1.65370141102779,0.156,0.33,1
"Elf1",0.0289892916583086,-1.65358262256961,0.044,0.122,1
"Wsb1",0.000104139776849652,-1.65141387725172,0.1,0.302,1
"Gm13166",0.0444548855637457,-1.6493494048719,0.044,0.113,1
"Rapgef5",0.0801890031439065,-1.64560586735331,0.044,0.101,1
"Cux1",0.0114016203169078,-1.64502048076217,0.089,0.196,1
"Alox5ap",0.00604553039143646,-1.64443994151254,0.122,0.244,1
"Fndc3a",0.0543286096539693,-1.64190180165178,0.056,0.124,1
"Map3k1",0.0179191340074756,-1.64059262078593,0.078,0.174,1
"Asap1",0.0196066082866316,-1.63711970213195,0.078,0.171,1
"Npnt",0.0520367901283549,-1.63012893927847,0.044,0.11,1
"Tra2b",0.000556847531510508,-1.62634446193437,0.111,0.282,1
"Hectd1",0.0325623057092714,-1.62274870232386,0.067,0.147,1
"Golga3",0.0899215675463269,-1.62191054614362,0.044,0.102,1
"Atxn7l3b",0.00227700740562457,-1.62177185823871,0.078,0.219,1
"Eml4",0.0272454338688818,-1.61796988512008,0.044,0.124,1
"Arhgef2",0.0420445575602387,-1.61596322155931,0.044,0.115,1
"Golgb1",0.07353783037939,-1.61521741052183,0.056,0.117,1
"Tcf4",0.00196737432496707,-1.61164370021395,0.089,0.232,1
"Hps3",0.0115120440503696,-1.61088330117479,0.044,0.142,1
"Pqlc2",0.0664198959359744,-1.60667516497894,0.044,0.106,1
"Dock2",0.0588552530927333,-1.60659215230069,0.089,0.16,1
"Cx3cr1",8.0997043514204e-17,-1.60397096570625,0.522,0.842,1.18401478209063e-12
"Etv5",0.150577822303923,-1.60200147720583,0.078,0.126,1
"Celf2",0.000362531493711076,-1.59962069987394,0.189,0.363,1
"Ppcdc",0.0108187962083983,-1.5906622254637,0.1,0.21,1
"Zfp207",0.00130638221829113,-1.58999002934925,0.111,0.266,1
"Mfsd11",0.0020518048276563,-1.58961667505613,0.078,0.221,1
"Dgkd",0.0117700747122147,-1.5888761413088,0.078,0.183,1
"Pik3cg",0.0390033260889033,-1.58164451011262,0.044,0.117,1
"Eif4a2",0.00062099750110899,-1.57142995581794,0.1,0.273,1
"Rnf4",0.0507134915722434,-1.57123403248484,0.044,0.111,1
"Tab2",0.0488243715208356,-1.56970440136411,0.078,0.153,1
"Rbm25",0.000161365441452995,-1.56955058959583,0.133,0.33,1
"Wwp1",0.0628977291217638,-1.56901733873114,0.089,0.16,1
"Myef2",0.0178790136598211,-1.56872019866241,0.111,0.214,1
"Klf3",0.0392745645174812,-1.56811008604809,0.078,0.156,1
"Hnrnpll",0.0779091420718061,-1.5675991074893,0.044,0.102,1
"Maz",0.0123604983444152,-1.56515304443287,0.089,0.194,1
"Tmem192",0.0358993017980576,-1.56424358149618,0.078,0.16,1
"Hcfc1",0.0812373851901176,-1.56329583045819,0.044,0.101,1
"Tspan14",0.102150793528136,-1.55885276103715,0.056,0.11,1
"Ctsb",3.86254110834094e-24,-1.5575678487258,0.822,0.961,5.64626259217279e-20
"Dab2",0.192748107870929,-1.55748208138358,0.233,0.278,1
"Ddx17",0.0195777869325618,-1.55371833519493,0.1,0.197,1
