"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Retreg3",0.0597919656111519,-0.316888324836792,0.114,0.071,1
"Cct7",0.0599006138436877,-0.254921891354611,0.344,0.242,1
"Adk",0.060479073919621,-0.279405090089671,0.11,0.067,1
"Herc1",0.0617438960761537,-0.292310136552102,0.19,0.13,1
"Usp15",0.0622938187664933,-0.337096218526455,0.163,0.108,1
"Foxo3",0.0632367163767017,-0.428632815154284,0.105,0.063,1
"Ehbp1l1",0.0632737733080789,-0.309606332845882,0.199,0.134,1
"3110062M04Rik",0.0643395977511641,-0.302338979864774,0.227,0.16,1
"Mvb12b",0.0647256940687252,-0.389648038412017,0.154,0.1,1
"Bfar",0.0650618699759158,-0.262428152071503,0.109,0.067,1
"Bcl2l12",0.0652652703037534,-0.313675815788029,0.16,0.108,1
"Gm10269",0.065362881743368,-1.26212738139602,0.091,0.123,1
"Cdk5",0.0660432105213597,-0.321439634053468,0.114,0.071,1
"Snrpc",0.0660521015153317,-0.297360906688231,0.333,0.238,1
"P2rx4",0.0671699615252486,-0.328197036133895,0.175,0.119,1
"Ubald2",0.0676697563204868,-0.363730013943621,0.275,0.197,1
"D1Ertd622e",0.0678411346642629,-0.365701123969551,0.134,0.086,1
"Ppm1h",0.0679475549488956,-0.270441846722993,0.249,0.175,1
"1810022K09Rik",0.0683838897813005,-0.293612059183106,0.394,0.283,1
"Slmap",0.0685973040600962,-1.12103252021989,0.102,0.134,1
"Rap2b",0.0689291093869278,-0.768450488589602,0.298,0.32,1
"Shmt2",0.0691128283670948,-0.476545886844962,0.113,0.071,1
"Sdhaf4",0.0692494659299542,-0.335817508696294,0.253,0.178,1
"Manbal",0.0694291963854226,-0.478018061080126,0.219,0.149,1
"Gcnt1",0.0695003192274573,-0.428525482702066,0.172,0.115,1
"Lag3",0.0695485246917828,-0.348270640928332,0.28,0.201,1
"Lrrc58",0.0699797122572969,-0.260365655840072,0.359,0.257,1
"Snx10",0.070039619392482,-0.363221165337499,0.133,0.086,1
"Dnajc5",0.0711869290585898,-0.323007458524487,0.22,0.152,1
"2900093K20Rik",0.0715359385344522,-0.366705560827244,0.102,0.063,1
"Pi4ka",0.0725612299469362,-0.54520735352457,0.109,0.067,1
"Ppp2r5a",0.0727294047209227,-0.335866392957929,0.121,0.078,1
