"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scpep1",0.000687548670321637,0.417335297502163,0.256,0.145,1
"Sin3b",0.000726547994484647,0.257903610235484,0.435,0.279,1
"Ndufv3",0.000738879780394755,-0.369335058284689,0.776,0.721,1
"Rps6ka1",0.000756510747953984,0.414463269365789,0.237,0.13,1
"Fscn1",0.000810565928670057,0.399478281494925,0.261,0.149,1
"Mrpl22",0.000820347859354717,0.380941617437249,0.208,0.112,1
"Chchd2",0.000820694273155411,-0.30808352605884,0.912,0.844,1
"Copz1",0.000839484179589705,0.343253513363824,0.221,0.119,1
"Med21",0.000913939742488427,0.300598525602257,0.29,0.175,1
"Slbp",0.000915118100696386,0.360358769725762,0.226,0.126,1
"Exosc4",0.000956970988307433,0.383461709241787,0.205,0.112,1
"BC005624",0.00100502349262883,0.262869733176952,0.226,0.126,1
"Sgta",0.00113154986682684,0.26053984987943,0.208,0.112,1
"Rnf121",0.00120715106936266,0.285480776652022,0.231,0.13,1
"Dnajc2",0.00129400945021892,0.313752070983705,0.259,0.152,1
"Txndc9",0.00133725512813992,0.357066596510793,0.24,0.138,1
"Mark3",0.00138807358862617,0.344736152116258,0.2,0.108,1
"Fez2",0.00140646192675018,0.290799427903532,0.226,0.126,1
"Apopt1",0.00148495849848479,0.280327103325952,0.206,0.112,1
"Wbp11",0.0015011729182933,0.305501730071123,0.213,0.119,1
"Spp1",0.00162071776082355,-1.10820918700973,0.401,0.461,1
"Scamp2",0.00162352819083268,0.274469169620116,0.551,0.383,1
"Degs1",0.0017313349412531,0.406620936436924,0.228,0.13,1
"Nans",0.00180259419815466,0.26674147093352,0.225,0.13,1
"Pcna",0.00180281460013698,0.314696946492262,0.276,0.167,1
"Hnrnpr",0.00190789511778402,0.402577528868198,0.274,0.167,1
"Xlr",0.00233872633168864,0.342304363610385,0.223,0.126,1
"Sdhd",0.00262925596383726,0.291218750724978,0.344,0.223,1
"Csf1r",0.00263843874339567,-0.363497331577762,0.956,0.933,1
"Dock4",0.00282909923321218,0.260130207830797,0.284,0.175,1
"Pigyl",0.00288060525909607,-1.18376444383148,0.248,0.297,1
"Amfr",0.00295162123237488,0.328749014095558,0.234,0.141,1
"Med9",0.00351370277168476,0.29695454085886,0.226,0.13,1
"Cox17",0.00364851004111948,-0.471766328069501,0.628,0.584,1
"Adgre1",0.00432837033890288,-0.625039202654848,0.641,0.602,1
"Lyrm2",0.00442243177382493,0.287912248120669,0.25,0.16,1
"Plpp1",0.0044469343586465,-0.438803916650274,0.209,0.115,1
"Wdr45b",0.00460959079616576,0.433160482737686,0.235,0.149,1
"Ralbp1",0.00477565369379573,0.319199627821636,0.257,0.164,1
"mt-Nd6",0.0052537841816703,-0.30198648709291,0.277,0.167,1
"Gamt",0.00548667059261594,0.317177474190224,0.209,0.126,1
"Arsb",0.00579344693566886,-0.352046753838592,0.819,0.751,1
"Romo1",0.00608952204643104,-0.308556685572532,0.788,0.729,1
"Ndfip1",0.00652130132077097,0.263917954770079,0.22,0.134,1
"Eif4a3",0.00662663881449934,0.33598640560529,0.228,0.141,1
"Ttyh2",0.00685245224276411,0.252911136474165,0.204,0.123,1
"Scd2",0.00694965856556328,-0.738775998404148,0.507,0.506,1
"Arhgap31",0.00779388576978051,0.395143574495176,0.2,0.123,1
"Commd7",0.00794404866584719,-0.637942643707838,0.353,0.234,1
"Ift20",0.00832226005145032,0.300212525244924,0.235,0.152,1
"Cops9",0.00881040384700533,-0.336831461943424,0.787,0.721,1
"Alkbh5",0.0113255073099866,-1.03309059505405,0.189,0.234,1
"Rhoh",0.0120261283512968,-0.281506003753576,0.264,0.167,1
"Coro1b",0.0125695981447973,-0.4975409407521,0.233,0.145,1
"Nme2",0.0129779501342981,-0.967037651763101,0.343,0.361,1
"Rab7b",0.0136122851135088,-1.33289591018675,0.164,0.208,1
