"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vdac2",0.00575750006333643,0.540151738676841,0.6,0.461,1
"Ndufs8",0.0273278182685352,0.538651091788747,0.4,0.294,1
"Etfb",0.0278498320718695,0.533996767561321,0.422,0.321,1
"Emg1",0.0337871446832026,0.531309530504737,0.356,0.257,1
"Mrps36",0.04807189252456,0.52578220546633,0.389,0.307,1
"Rpl13",4.7886561615712e-17,0.520629858933606,1,0.993,7.00005757698478e-13
"Rps27l",0.00162534021576893,0.519354286704348,0.8,0.645,1
"Rpl15",1.73312445805957e-07,0.516300861026413,1,0.937,0.00253348133279149
"Tmsb4x",8.00729872715567e-23,0.511920502155837,1,1,1.17050692793562e-18
"Higd2a",0.0065022040278803,0.5117723659316,0.644,0.517,1
"Eif5a",0.000511910227811205,0.509361394944863,0.822,0.673,1
"Btf3",0.000809025105733781,0.504075194225472,0.822,0.668,1
"Nsmce2",0.0157864202161689,0.50309380244824,0.2,0.11,1
"Rplp2",1.11605579155705e-09,0.502855942574638,1,0.948,1.6314503560981e-05
"Pkm",0.0155100673828298,0.494147898076245,0.578,0.469,1
"Rpl37a",6.66556525505763e-15,0.489871944771821,1,0.991,9.74372328984324e-11
"Rps3a1",3.90935840089954e-07,0.489583312954623,1,0.962,0.00571470011043495
"Akirin1",0.0292179971018975,0.488873637571986,0.267,0.167,1
"Rps25",0.000245048030694961,0.485876539133747,0.856,0.715,1
"Arpc3",0.000671655533260961,0.485175286707352,0.722,0.564,1
"Rps9",1.20429520678172e-08,0.480642966617991,0.989,0.957,0.000176043873327352
"Rpl17",0.000262000955969812,0.475226438244451,0.778,0.641,1
"Erh",0.00583703613061632,0.47353694882645,0.744,0.607,1
"Higd1a",0.00839752397864883,0.473303309814622,0.456,0.321,1
"Sdf2l1",0.0283581391908408,0.471907288860878,0.356,0.241,1
"Mcts1",0.0149818160584842,0.470655181864417,0.356,0.235,1
"Csnk2b",0.0273863866845838,0.465588319503329,0.4,0.291,1
"Rps16",1.3946720354239e-08,0.46507077718538,1,0.944,0.000203873158138266
"Cox5a",0.00102919223462845,0.464327425162627,0.8,0.671,1
"Ly86",0.000184987315741761,0.460948635981063,0.856,0.743,1
"Cox17",0.0186834841426222,0.460265375428002,0.622,0.501,1
"Mrpl12",0.0314741485045138,0.459518346115416,0.444,0.341,1
"Rpl36",6.52280707161334e-12,0.458122053510366,1,0.991,9.53503937728438e-08
"Srsf9",0.00484107346750895,0.454234654629774,0.689,0.558,1
"Prdx1",0.000603593020074401,0.4537770816663,0.911,0.788,1
"Sh3bgrl3",0.000278207968162968,0.453715388857471,0.833,0.702,1
"Capzb",0.00208934297654596,0.451410367692563,0.7,0.54,1
"Cryba4",0.016652420642859,0.450166471411883,0.556,0.411,1
"Rpl10a",2.45935214279563e-07,0.441005757119483,1,0.978,0.00359508096233866
"Rps4x",6.82303041576248e-07,0.440675112623896,1,0.964,0.00997390586176159
"Cdc42",0.00670862189308354,0.440563584523487,0.8,0.675,1
"Hprt",0.0366520451565829,0.440153306027887,0.411,0.305,1
