"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptpn1",0.0388894237047706,-1.20896146849897,0.089,0.174,1
"Pik3cg",0.0390033260889033,-1.58164451011262,0.044,0.117,1
"Furin",0.0391416594085916,-1.01569708303112,0.1,0.192,1
"Elf2",0.0391822294950005,-1.2358545976497,0.044,0.118,1
"Klf3",0.0392745645174812,-1.56811008604809,0.078,0.156,1
"Copa",0.039614115554729,-1.44283107760589,0.067,0.145,1
"Atp6v0a1",0.0397332099955091,-1.25494371078761,0.111,0.199,1
"Sept7",0.03974773572764,-0.657030759648823,0.189,0.303,1
"Cd33",0.0402110440911276,-0.804334810203542,0.211,0.311,1
"Ppp4r3a",0.0403390505272534,-1.06428296278518,0.078,0.162,1
"Frmd4b",0.0403739483133574,-1.30732820392937,0.078,0.16,1
"Noc2l",0.040374169903062,-1.07842144215547,0.056,0.133,1
"Notch2",0.0403914473513127,-1.12801801390266,0.122,0.212,1
"Nudt3",0.0406090182837377,-1.36253306369792,0.067,0.145,1
"Rdx",0.0410858103750067,-0.885048845662755,0.144,0.242,1
"Raph1",0.0412612225517294,-1.4200829699151,0.044,0.117,1
"Ophn1",0.0413760745854951,-1.21921788691016,0.078,0.158,1
"Fli1",0.0414534410576746,-1.03195379736031,0.178,0.273,1
"Clec4a2",0.0415232343201041,-1.41575003410154,0.111,0.197,1
"Lpl",0.0415584410382186,-0.884629993351545,0.178,0.28,1
"Arhgef2",0.0420445575602387,-1.61596322155931,0.044,0.115,1
"Itm2b",0.0423459383461301,-0.266241610729538,0.956,0.957,1
"Syngr1",0.0423782508790889,-0.494423503147333,0.533,0.612,1
"Cdk6",0.0424721003832546,-1.48109633125289,0.067,0.144,1
"Gdi2",0.0427150701527817,-0.437284846057154,0.478,0.594,1
"Adcy7",0.0427840113249972,-0.863533775141466,0.089,0.178,1
"Marf1",0.0430058268424682,-0.870438398758763,0.267,0.354,1
"Gmip",0.0430423193620289,-1.5177079900894,0.056,0.129,1
"Tm9sf2",0.0431355488057273,-1.29846127336763,0.1,0.181,1
"Frmd4a",0.0433214875274101,-1.38566809515955,0.056,0.129,1
"Mark3",0.0436858266218158,-1.38590525650578,0.044,0.115,1
"Zbtb18",0.0437927445577899,-1.25282194081738,0.089,0.171,1
"Tra2a",0.0439410772047565,-1.44302838348861,0.056,0.129,1
"Ccdc34",0.0439433468211084,-1.03970581447326,0.056,0.133,1
"Gm13166",0.0444548855637457,-1.6493494048719,0.044,0.113,1
"Top2a",0.044944757984485,-1.27478027763685,0.067,0.144,1
"R3hdm1",0.0449589515957722,-1.45180809957242,0.056,0.127,1
"Wasf2",0.0450987089010121,-0.755029010662925,0.222,0.321,1
"Cebpg",0.0454375924516498,-1.68121456596331,0.044,0.113,1
"Sbf2",0.0454375924516498,-1.54021036893486,0.044,0.113,1
"Sgpl1",0.0457521073208718,-0.771511033750014,0.2,0.3,1
"Eif3j1",0.0464539464331141,-0.809978753662559,0.078,0.163,1
"Vps4b",0.0473208911677818,-0.933244203548009,0.067,0.147,1
"AI413582",0.0481667963989038,-0.834952330856052,0.122,0.215,1
