categories,Cell_ID,ID,subject,group,treatment,tissue,region,Cell,cell_positions,Soma_area,Soma_perimeter,Soma_circularity,Soma_compactness,Soma_orientation,Soma_feret_diameter,Soma_eccentricity,Soma_aspect_ratio,End_Points,Junctions,Branches,Initial_Points,Total_Branches_Length,ratio_branches,Convex_Hull_area,Convex_Hull_perimeter,Convex_Hull_compactness,Fractal_dimension,Convex_Hull_eccentricity,Convex_Hull_feret_diameter,Convex_Hull_orientation,Cell_area,Cell_perimeter,Cell_circularity,Cell_compactness,Cell_orientation,Cell_feret_diameter,Cell_eccentricity,Cell_aspect_ratio,Sholl_max_distance,Sholl_crossing_processes,Sholl_circles,Cell_solidity,Cell_convexity,UMAP_1,UMAP_2,Clusters,Cluster_Color
CON_F,C21_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,21,"(3573, 1535, 3630, 1601)",903,118.8284271,0.803631437,7.599191727,90,36,0.230404272,1.48,4,2,8,5,32,0.8,2756,203.3380945,13.55378099,-0.845843215,0.720931843,64.75131989,87.39744568,2083,271.0365772,0.356322565,7.685309567,88.60282135,64.39547729,0.811164242,0.863636364,51.86520992,7,3,0.755805515,1.332935562,-3.0095956,5.764082,1,"240,200,200"
CON_F,C22_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,22,"(1416, 1656, 1521, 1743)",2261,199.2964631,0.715337913,11.3449078,36.86989975,62.20000458,0.746857915,1.109090909,5,5,10,4,40,1.25,4728,299.1614712,15.80417418,-1.000342103,0.421785819,110.6055222,39.28940582,3667,333.2619729,0.414905557,11.00335561,39.28940582,110.1130219,0.412162134,1.206896552,81.05553652,16,6,0.775592217,1.113986943,11.120803,11.659883,3,"59,235,255"
CON_F,C23_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,23,"(1698, 1693, 1754, 1773)",1426,183.5979787,0.531610559,7.76697004,90,59,0.41797089,0.6,5,0,5,5,19,1,2659,226.4091616,11.7442244,-0.799022408,0.432679002,88.22283173,62.10273361,2204,270.9360719,0.377300859,8.134760295,61.99082565,88.23088837,0.511495569,0.7,54.64430437,8,3,0.828883039,1.196665674,-2.7536104,7.0676336,1,"240,200,200"
CON_F,C24_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,24,"(3226, 1733, 3310, 1801)",2305,205.1543278,0.688207542,11.23544419,90,63,0.629087853,1.333333333,6,1,6,5,24,1.2,4122,262.5096664,15.70227891,-0.957422143,0.621717205,91.19400024,78.69007111,2896,351.2619723,0.294948472,8.244558843,78.69007111,90.80177307,0.606478939,1.235294118,55.31726674,15,3,0.702571567,1.338091572,2.2951503,13.630612,1,"240,200,200"
COLD_F,C1_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,1,"(2936, 679, 3093, 830)",7193,516.3330402,0.339047145,13.93093108,57.94262695,140.4994965,0.659856793,1.069565217,9,1,9,8,56,1.125,14971,486.6416955,30.76390728,-1.211052643,0.751641716,150.7731934,54.46232224,8437,779.9797894,0.174273444,10.81694695,54.40531158,150.373703,0.720093998,1.039735099,124.739729,25,10,0.563556209,1.602780437,12.884968,-5.883597,4,"119,221,119"
COLD_F,C2_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,2,"(2974, 831, 3110, 910)",5274,348.9533172,0.544271166,15.11376949,90,115,0.451690711,2.035087719,7,2,6,9,22,0.777777778,8282,360.9777046,22.94324523,-1.12668681,0.601171042,135,90,6433,529.386863,0.288454352,12.1517938,0.954841256,134.7479553,0.559281751,1.721518987,86.28441342,13,7,0.776744748,1.466536177,12.722248,-3.442272,4,"119,221,119"
COLD_F,C3_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,3,"(1264, 889, 1312, 934)",639,98.48528123,0.827881282,6.488279183,90,27,0.724676206,1.12,4,0,4,4,12,1,1371,142.7523077,9.604047896,-0.624275,0.546286715,46.66904068,45,1132,161.1959579,0.547454457,7.022508596,45,46.66904831,0.761747227,1.066666667,34.52625812,2,1,0.82567469,1.129200365,-5.050787,-6.039354,0,"184,138,255"
COLD_F,C4_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,4,"(1266, 970, 1350, 1037)",1935,181.9827551,0.734227019,10.63287562,90,56,0.69375964,1.212765957,3,0,3,3,28,1,3450,249.9655101,13.8019041,-0.903333364,0.434538972,93.53482056,29.05460548,2617,324.0904009,0.31309869,8.074907472,29.05460548,93.1463089,0.541246715,1.253731343,55.35541728,9,3,0.758550725,1.296540474,-0.4184674,12.23382,1,"240,200,200"
COLD_F,C5_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,5,"(1263, 1034, 1370, 1154)",2245,218.6690465,0.589999423,10.26665656,90,57,0.536440484,1.035714286,10,7,15,5,83,2,8260,372.0903997,22.19890652,-1.133191495,0.640241158,127.0588226,28.07248878,4122,667.3696175,0.116301412,6.17648735,28.12373734,126.9373322,0.69558362,0.891666667,109.808925,25,9,0.499031477,1.793568493,12.103898,7.789075,3,"59,235,255"
COLD_F,C6_s04_MR138_COLD_F_PVN,PVN_MR138_COLD_F_s04,PVN,MR138,COLD,F,s04,6,"(1251, 1175, 1312, 1255)",381,79.89949477,0.749974977,4.768490728,90,21,0.651682689,0.954545455,4,2,6,3,41,1.333333333,2692,225.2792174,11.94961538,-0.794047489,0.409410336,91.01367188,53.61565018,1475,313.078207,0.189102038,4.71128289,53.56914139,91.01265717,0.390630771,0.7625,73.81734214,9,5,0.547919762,1.389734085,-4.463254,-1.6513008,0,"184,138,255"
